trackId,Artist,title,streams
4bHsxqR3GMrXTxEPLuK5ue,Journey,Don't Stop Believin' ,50885
0Oqc0kKFsQ6MhFOLBNZIGX,Lana Del Rey,Doin' Time ,50534
3UYiU57SMiAS5LqolhHJw1,Camila Cabello,Shameless ,50519
254bXAqt3zP6P50BdQvEsq,Fleetwood Mac,Everywhere - 2017 Remaster ,50454
4Pg6x9W2ziSJh5iym9XRTB,Sam Fender,Call Me Lover ,50323
07GvNcU1WdyZJq3XxP0kZa,Fleetwood Mac,Go Your Own Way - 2004 Remaster ,50279
3HUb7feX3gdnzZVEHy5yFj,Digga D,No Diet ,50263
3eS1VMcEmq2IUgpaeDysCb,Jess Glynne,One Touch ,50190
0YTXcXihG2qpxb3U3LbPfc,The Plug,Rich (feat. D Block Europe & Offset) ,49969
22UDw8rSfLbUsaAGTXQ4Z8,Estelle,American Boy ,49967
2fyIS6GXMgUcSv4oejx63f,Arctic Monkeys,Mardy Bum ,49931
75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart ,49826
2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,Going Bad (feat. Drake) ,49655
3rq5w4bQGigXOfdN30ATJt,Arctic Monkeys,Do I Wanna Know? ,49596
1f36D2fxgU2Mk1TxS7WhjG,Blossoms,Your Girlfriend ,49489
3gdewACMIVMEWVbyb8O9sY,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time) ",49032
7sd72KZS8D59g5NmhxyHpJ,Koffee,Toast ,48964
2LA9gKY5t2kx4BY5GSy3Us,Bugzy Malone,Kilos (feat. Aitch) ,48727
6osaMSJh9NguagEDQcZaKx,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga) ,48699
5e9TFTbltYBg2xThimr0rU,Fleetwood Mac,The Chain - 2004 Remaster ,48694
5icOoE6VgqFKohjWWNp0Ac,Marshmello,Here With Me ,48666
0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer ,48547
6DCZcSspjsKoFjzjrWoCdn,Drake,God's Plan ,48452
1mqlc0vEP9mU1kZgTi6LIQ,"Earth, Wind & Fire",September ,48295
20ZP3Om9DvDazXrNUC7WM2,Rudimental,These Days ,48153
3CA9pLiwRIGtUBiMjbZmRw,Drake,Nice For What ,48039
